year,project_id,camera_trap_array,deployment_id,sequence_id,start_time,end_time,class,order,family,genus,species,common_name,age,sex,group_size,seq_length,project_deployment_id
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068704,2023-11-16T06:13:39Z,2023-11-16T06:13:47Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,8,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8070074,2023-10-26T06:04:59Z,2023-10-26T06:05:02Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068794,2023-11-20T17:36:59Z,2023-11-20T17:37:51Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,52,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068935,2023-11-25T18:09:46Z,2023-11-25T18:09:48Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,2,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8069472,2023-10-01T21:48:50Z,2023-10-01T21:49:24Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,34,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc12 10/05/2023,7390211,2023-10-25T03:12:46Z,2023-10-25T03:12:50Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc12 10/05/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068908,2023-11-25T03:04:38Z,2023-11-25T03:04:41Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068891,2023-11-24T06:13:29Z,2023-11-24T06:13:31Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,2,2,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068319,2023-10-25T00:29:27Z,2023-10-25T00:29:29Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,2,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8069001,2023-11-28T05:38:47Z,2023-11-28T05:38:50Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8069602,2023-10-06T05:43:14Z,2023-10-06T05:43:26Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,12,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc45 09/23/2023,7627867,2023-09-22T20:45:53Z,2023-09-22T20:45:56Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc45 09/23/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc59 09/01/2023,7991971,2023-10-12T10:22:57Z,2023-10-12T10:23:01Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc59 09/01/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068875,2023-11-23T18:40:17Z,2023-11-23T18:41:05Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,48,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc59 09/01/2023,7991818,2023-09-20T17:06:21Z,2023-09-20T17:06:21Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,0,2006496_NY_Anthropogenic_NYC_23_loc59 09/01/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068488,2023-11-04T01:20:56Z,2023-11-04T01:20:59Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
